Paper,URL,Year,Writing Stage,Writing Context,Purpose,Specificity,Audience,Demographic Profile - Design,Demographic Profile - Evaluation,System Output Preferences - Design,System Output Preferences - Evaluation,Relationship to System - Design,Relationship to System - Evaluation,User Capabilities - Design,User Capabilities - Evaluation,Data - Source,Data - Size,Model - Type,Model - External Resource Access,Learning - Problem,Learning - Algorithm,Learning - Training and Adaptation,Evaluation - Evaluator,Evaluation - Focus,Scalability,User - Steering the System,User - Integrating System Output,UI - Interface Paradigm,UI - Layout,UI - Visual Differentiation,UI - Interaction Metaphor,UI - Initiation,System - Output Type,System - Curation Type,System - User Data Access,Digital Infrastructure,Social Factors,Locale,Access Model,Norms & Rules,Change Over Time
WriteAhead2: Mining Lexical Grammar Patterns for Assisted Writing,https://aclanthology.org/N15-3022,2015,NA,NA,NA,NA,NA,Language & culture,NA,Textual coherence,Textual coherence,NA,NA,Writing expertise,Writing expertise,"Other, Expert","Unknown, Medium (<10k)",Rule-based model,Data,"Structured prediction, Retrieval",NA,NA,Human evaluation,Linguistic quality,NA,"No control, Explicit",Inspiration,Text editor,Separated,Location,Tool,System-initiated,Proposal,"Customized, Model",Input text,NA,NA,NA,NA,NA,NA
CroVeWA: Crosslingual Vector-Based Writing Assistance,https://aclanthology.org/N15-3019,2015,NA,NA,NA,NA,NA,Language & culture,NA,NA,NA,NA,NA,NA,NA,"Other, Expert","Unknown, Extremely large (>1M)",Deep neural network,Data,"Generation, Retrieval","Unsupervised learning, Supervised learning, Self-supervised learning",Training from scratch,NA,NA,NA,Explicit,No integration,Other,Separated,Location,Tool,User-initiated,Analysis,Model,Additional data,NA,NA,NA,NA,NA,NA
Using Context to Predict the Purpose of Argumentative Writing Revisions,https://aclanthology.org/N16-1168,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors,"Small (<100), Medium (<10k)",Statistical ML model,Tool,Classification,Supervised learning,Training from scratch,Automatic evaluation,Linguistic quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-uniform Language Detection in Technical Writing,https://aclanthology.org/D16-1194,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Medium (<10k),Statistical ML model,"Tool, Data",Classification,Supervised learning,Training from scratch,Automatic evaluation,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compositional Sequence Labeling Models for Error Detection in Learner Writing,https://aclanthology.org/P16-1112,2016,NA,NA,NA,NA,NA,Language & culture,NA,NA,NA,NA,NA,Writing expertise,NA,User,Large (<1M),Deep neural network,NA,Classification,Supervised learning,Training from scratch,Automatic evaluation,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adapting Grammatical Error Correction Based on the Native Language of Writers with Neural Network Joint Models,https://aclanthology.org/D16-1195,2016,NA,NA,NA,NA,NA,Language & culture,Language & culture,Textual coherence,Textual coherence,NA,NA,Writing expertise,NA,User,Extremely large (>1M),Deep neural network,Tool,"Classification, Rewriting",Supervised learning,Fine-tuning,Automatic evaluation,Linguistic quality,Latency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ArgRewrite: A Web-based Revision Assistant for Argumentative Writings,https://aclanthology.org/N16-3008,2016,Revision,Academic,Persuasive,Specific Objectives,NA,"Education, Profession",NA,Explainability,NA,NA,NA,Writing expertise,NA,NA,NA,Statistical ML model,NA,Classification,NA,NA,NA,NA,NA,Explicit,No integration,Other,Separated,Formatting,Tool,User-initiated,Analysis,Deterministic,Input text,NA,NA,NA,NA,NA,NA
The arText prototype: An automatic system for writing specialized texts,https://aclanthology.org/E17-3015,2017,Revision,Professional,Expository,Specific Objectives,NA,Profession,Profession,Textual coherence,Textual coherence,NA,NA,Writing expertise,NA,NA,NA,Rule-based model,NA,Classification,NA,NA,NA,Style & adequacy,NA,Explicit,No integration,Text editor,Separated,NA,Tool,User-initiated,Analysis,Deterministic,Input text,Usability consistency,Designing with stakeholders,Local writing,Free and open-source software,Conventions,Writing
LyriSys: An Interactive Support System for Writing Lyrics Based on Topic Transition,https://doi.org/10.1145/3025171.3025194,2017,Drafting,Creative,Entertainment,"Detailed Requirements, General Direction",NA,Profession,Profession,NA,NA,NA,NA,Creativity,Creativity,"Other, Expert",Large (<1M),Statistical ML model,NA,Generation,Unsupervised learning,NA,NA,Style & adequacy,NA,Explicit,Editing,"Other, Text editor","Writing area, Custom","None, Location",Tool,User-initiated,Generation,Model,Input text,NA,NA,NA,NA,NA,NA
Paper Abstract Writing through Editing Mechanism,https://aclanthology.org/P18-2042,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Expert,Medium (<10k),Deep neural network,NA,Generation,Supervised learning,Training from scratch,"Automatic evaluation, Human evaluation",Style & adequacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Usability consistency,"Other, Designing for social writing",Local writing,Free and open-source software,Conventions,Other
"Multitasking with Play Write, a Mobile Microproductivity Writing Tool",https://doi.org/10.1145/3242587.3242611,2018,Revision,"Professional, Academic, Journalistic, Technical, Creative",NA,Nonspecific,NA,NA,NA,NA,NA,NA,NA,Efficiency,Efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explicit,Selection,Other,"Custom, Separated",NA,Tool,NA,Proposal,Deterministic,"Additional data, Input text",Technical interoperability,Designing with stakeholders,Remote writing,Free and open-source software,NA,NA
MirrorU: Scaffolding Emotional Reflection via In-Situ Assessment and Interactive Feedback,https://doi.org/10.1145/3170427.3188517,2018,Drafting,Personal,Descriptive,Detailed Requirements,Implied,NA,NA,Personalization,Personalization,Ownership,Ownership,Emotion,Emotion,"User, Expert",Medium (<10k),Statistical ML model,NA,Classification,Supervised learning,NA,Automatic evaluation,NA,NA,No control,"Inspiration, No integration","Other, Text editor",Separated,Media type,Tool,System-initiated,Analysis,Customized,Input text,Technical interoperability,Designing with stakeholders,Remote writing,Free and open-source software,NA,Writing
Itero: A Revision History Analytics Tool for Exploring Writing Behavior and Reflection,https://doi.org/10.1145/3170427.3188474,2018,Revision,Academic,NA,Detailed Requirements,NA,Education,Education,NA,NA,NA,NA,Efficiency,Efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No control, Implicit",No integration,Other,Custom,Media type,Tool,User-initiated,Analysis,"Deterministic, Customized",Input text,Technical interoperability,"Designing with stakeholders, Designing for social writing",NA,NA,NA,Authors
IntroAssist: A Tool to Support Writing Introductory Help Requests,https://doi.org/10.1145/3173574.3173596,2018,Drafting,Professional,Persuasive,Specific Objectives,Implied,"Profession, Socioeconomic status",NA,NA,NA,NA,NA,"Writing expertise, Confidence",Confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No control,No integration,Text editor,Separated,Location,Tool,User-initiated,Proposal,"Curated, Deterministic",Input text,NA,Designing with stakeholders,Local writing,NA,Conventions,Writing
Feedback Orchestration: Structuring Feedback for Facilitating Reflection and Revision in Writing,https://doi.org/10.1145/3272973.3274069,2018,Revision,"Academic, Creative","Educational, Analytical","Detailed Requirements, General Direction",Specified,"Language & culture, Education",Language & culture,Explainability,NA,NA,NA,Writing expertise,Writing expertise,Other,NA,Rule-based model,NA,Classification,NA,NA,Human evaluation,Other,NA,"No control, Explicit",No integration,"Other, Text editor",Separated,"None, Location",Tool,User-initiated,Analysis,"Deterministic, Customized",Input text,NA,Designing with stakeholders,NA,NA,Conventions,Authors
Demonstrating Par4Sem - A Semantic Writing Aid with Adaptive Paraphrasing,https://aclanthology.org/D18-2009,2018,Revision,Other,Accessibility,General Direction,Specified,NA,NA,NA,NA,NA,NA,NA,NA,Other,Large (<1M),"Statistical ML model, Deep neural network",Tool,"Classification, Regression, Retrieval","Supervised learning, Reinforcement learning",Fine-tuning,Human-machine evaluation,Other,NA,"No control, Explicit",Selection,Text editor,Writing area,Formatting,Tool,User-initiated,"Proposal, Generation",Model,Input text,NA,Designing with stakeholders,NA,Free and open-source software,Other,NA
Creative Writing with a Machine in the Loop: Case Studies on Slogans and Stories,https://doi.org/10.1145/3172944.3172983,2018,Drafting,Creative,"Narrative, Persuasive",General Direction,Implied,NA,Profession,"Textual coherence, Textual diversity","Textual coherence, Textual diversity",NA,Agency,"Creativity, Cognition","Creativity, Writing expertise",Other,Medium (<10k),Deep neural network,NA,Generation,"Unsupervised learning, Supervised learning",Fine-tuning,Human evaluation,"Style & adequacy, Linguistic quality",NA,"Implicit, Explicit",Selection,Text editor,Separated,Location,"Tool, Agent",User-initiated,"Proposal, Generation",Model,Input text,NA,Designing with stakeholders,NA,Free and open-source software,NA,"Authors, Writing"
Content Explorer: Recommending Novel Entities for a Document Writer,https://aclanthology.org/D18-1374,2018,NA,NA,NA,NA,NA,NA,NA,Textual coherence,Textual coherence,NA,NA,NA,NA,Other,Extremely large (>1M),Statistical ML model,NA,Classification,Supervised learning,NA,Human evaluation,Style & adequacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Automated Assistance for Creative Writing with an RNN Language Model,https://doi.org/10.1145/3180308.3180329,2018,Drafting,Creative,Narrative,"Nonspecific, General Direction","Implied, Other",NA,NA,"Textual diversity, Textual coherence",Textual coherence,Trust,Trust,Creativity,Creativity,"Other, Expert",Medium (<10k),Deep neural network,NA,Generation,"Unsupervised learning, Self-supervised learning",Training from scratch,"Human-machine evaluation, Human evaluation",Linguistic quality,NA,"Implicit, Explicit","Editing, Inspiration",Text editor,Writing area,Formatting,Tool,User-initiated,Generation,Model,Input text,Usability consistency,"Other, Designing with stakeholders, Designing for social writing",Local writing,Free and open-source software,NA,Authors
A Corpus of Non-Native Written English Annotated for Metaphor,https://aclanthology.org/N18-2014,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,User,Medium (<10k),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical interoperability,Designing with stakeholders,Local writing,Free and open-source software,Conventions,Writing
Toward a Task of Feedback Comment Generation for Writing Learning,https://aclanthology.org/D19-1316,2019,Revision,Academic,Educational,Specific Objectives,Specified,Education,NA,Explainability,Explainability,NA,NA,NA,NA,"User, Other",Medium (<10k),Deep neural network,Tool,Classification,Supervised learning,Training from scratch,Automatic evaluation,Style & adequacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Usability consistency,NA,Local writing,Free and open-source software,NA,Technologies
"Plan, Write, and Revise: an Interactive System for Open-Domain Story Generation",https://aclanthology.org/N19-4016,2019,"Planning, Drafting, Revision",Creative,Entertainment,Nonspecific,Implied,NA,NA,Textual coherence,Textual diversity,Agency,Trust,Creativity,Creativity,NA,NA,Deep neural network,Data,Generation,NA,Tuning decoding parameters,Human evaluation,Controllability,NA,Explicit,Selection,Other,Separated,Location,Tool,User-initiated,Generation,Model,Input text,Usability consistency,"Designing with stakeholders, Designing for social writing",Local writing,Free and open-source software,Conventions,Writing
On How Users Edit Computer-Generated Visual Stories,https://doi.org/10.1145/3290607.3312965,2019,Revision,Creative,"Narrative, Expository, Entertainment",NA,Specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical interoperability,Designing with stakeholders,Local writing,NA,Conventions,"Technologies, Writing"
Neural-based Chinese Idiom Recommendation for Enhancing Elegance in Essay Writing,https://aclanthology.org/P19-1552,2019,Revision,NA,Descriptive,Specific Objectives,Implied,NA,NA,NA,NA,NA,NA,NA,NA,Other,Medium (<10k),Statistical ML model,NA,Structured prediction,Unsupervised learning,Training from scratch,Automatic evaluation,Linguistic quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metaphoria: An Algorithmic Companion for Metaphor Creation,https://doi.org/10.1145/3290605.3300526,2019,Idea generation,Creative,"Narrative, Descriptive","Detailed Requirements, Specific Objectives",Specified,Profession,Profession,"Textual coherence, Textual diversity","Textual diversity, Textual coherence",Agency,"Agency, Ownership",Creativity,Creativity,User,NA,"Deep neural network, Rule-based model",Tool,"Generation, Structured prediction",Unsupervised learning,NA,Human evaluation,"Style & adequacy, Linguistic quality",NA,No control,Inspiration,Other,Separated,Location,Tool,User-initiated,Generation,Model,Input text,Usability consistency,"Designing with stakeholders, Designing for social writing",Local writing,Free and open-source software,Other,Writing
Learning Emphasis Selection for Written Text in Visual Media from Crowd-Sourced Label Distributions,https://aclanthology.org/P19-1112,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other, Expert",Medium (<10k),Deep neural network,Data,Generation,Unsupervised learning,Training from scratch,Human evaluation,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iComposer: An Automatic Songwriting System for Chinese Popular Music,https://aclanthology.org/N19-4015,2019,Drafting,Creative,Entertainment,Nonspecific,Specified,NA,NA,NA,NA,NA,NA,NA,NA,Other,Medium (<10k),Deep neural network,NA,Structured prediction,Unsupervised learning,NA,"Human-machine evaluation, Human evaluation",Style & adequacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How a Stylistic, Machine-Generated Thesaurus Impacts a Writer's Process",https://doi.org/10.1145/3325480.3326573,2019,Drafting,Creative,Descriptive,General Direction,Implied,NA,Education,Textual diversity,Textual coherence,NA,NA,Writing expertise,Writing expertise,Other,Large (<1M),Statistical ML model,NA,Structured prediction,Supervised learning,Training from scratch,Human evaluation,Linguistic quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Designing with stakeholders,NA,Free and open-source software,NA,Writing
Empowering Expression for Users with Aphasia through Constrained Creativity,https://doi.org/10.1145/3290605.3300615,2019,Drafting,Creative,Accessibility,"General Direction, Specific Objectives","Implied, Specified",NA,NA,Textual diversity,Textual diversity,Ownership,Ownership,Creativity,"Creativity, Efficiency, Neurodiversity",NA,NA,Rule-based model,NA,NA,NA,NA,Automatic evaluation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Designing with stakeholders,NA,Free and open-source software,Conventions,Writing
Design and Evaluation of a Social Media Writing Support Tool for People with Dyslexia,https://doi.org/10.1145/3290605.3300746,2019,Revision,Personal,Accessibility,General Direction,Implied,Other,Other,Textual coherence,Textual coherence,NA,Privacy,Confidence,Confidence,Crowdworker,Large (<1M),Deep neural network,NA,Rewriting,Supervised learning,NA,Automatic evaluation,Linguistic quality,NA,No control,Selection,Text editor,Separated,None,Tool,User-initiated,Generation,Model,Input text,Usability consistency,Designing with stakeholders,NA,Commercial software,Conventions,Writing
Character Alive: A Tangible Reading and Writing System for Chinese Children At-Risk for Dyslexia,https://doi.org/10.1145/3290607.3312756,2019,Other,Other,Educational,Specific Objectives,NA,Age,NA,NA,NA,NA,NA,Neurodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other, Designing with stakeholders",Other,NA,NA,Authors
TEASPN: Framework and Protocol for Integrated Writing Assistance Environments,https://aclanthology.org/D19-3039,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical interoperability,NA,NA,Free and open-source software,NA,Technologies
Writing Strategies for Science Communication: Data and Computational Analysis,https://aclanthology.org/2020.emnlp-main.429,2020,"Planning, Drafting",Academic,Expository,Nonspecific,Implied,NA,NA,NA,NA,NA,NA,NA,NA,"User, Other",Large (<1M),"Foundation model, Deep neural network",NA,Classification,Supervised learning,Fine-tuning,"Automatic evaluation, Human-machine evaluation","Style & adequacy, Linguistic quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Conventions,NA
Predictive Text Encourages Predictable Writing,https://doi.org/10.1145/3377325.3377523,2020,NA,NA,NA,NA,NA,NA,NA,Textual diversity,Textual diversity,Ownership,Ownership,Efficiency,Efficiency,"Other, Expert","Unknown, Large (<1M)",Deep neural network,NA,Generation,Supervised learning,NA,Automatic evaluation,Style & adequacy,Latency,"Other, Implicit",Selection,Text editor,"Input UI, Separated","None, Location",Tool,"Other, System-initiated",Generation,Model,Input text,NA,Designing with stakeholders,NA,NA,NA,"Information environment, Writing"
